TYPE	ID	NAME	SRID	X	Y	HELP1	HELP2
							
WWWSET	WWK_9250003	WWW BAB A92 AS4 - AK Neufahrn (Fr. München)					9250003
WWWPANEL	WWQ_92572b	AQ92-572b-Mch	4326	48.3295667	11.6532167		92572b
WWWPANEL	WWQ_92572a	AQ92-572a-Mch	4326	48.3295667	11.6532167		92572a
WWWPANEL	WWQ_92584	AQ92-584-Mch	4326	48.3258138	11.6411835		92584
WWWPANEL	WWQ_92586	AQ92-586-Mch	4326	48.3247347	11.6384085		92586
WWWPANEL	WWQ_92588	AQ92-588-Mch	4326	48.3237221	11.6359995		92588
WWWPANEL	WWQ_92_AK_Neuf_1174_UM	WWQ_92_AKNeuf_1174_UM	4326	48.3203723	11.6286070		92_AK_Neuf_1174_UM
WWWPANEL	WWQ_92_AK_Neuf_1454_UM	WWQ_92_AKNeuf_1454_UM	4326	48.3189585	11.6254104		92_AK_Neuf_1454_UM
							
WWWSET	WWK_92620	WWW BAB A92 AS3 - AS Unterschleißheim (Fr. München)					92620
WWWPANEL	WWQ_92622	AQ92-622-Mch	4326	48.3011675	11.5890021		92622
WWWPANEL	WWQ_92623	AQ92-623-Mch	4326	48.2984217	11.5833067		92623
							
WWWSET	WWK_92370	WWW BAB A92 AS2 - AS Oberschleißheim (Fr. München)					92370
WWWPANEL	WWQ_92372	AQ_92_3720_Mch	4326	48.2582483	11.5337911		92372
WWWPANEL	WWQ_92321	AQ_92_3210_Mch	4326	48.2539284	11.5325533		92321
							
WWWSET	WWK_9250004	WWW BAB A92 AS1 - AD München-Feldmoching (Fr. München)					9250004
WWWPANEL	WWQ_92684	AQ92-684-Mch	4326	48.2394352	11.5364793		92684
WWWPANEL	WWQ_92686	AQ92-686-Mch	4326	48.2349028	11.5398956		92686
WWWPANEL	WWQ_92696	AQ92-696-Mch	4326	48.2325017	11.5418033		92696
							
WWWSET	WWK_922400	WWW BAB A92 AS2 - AS Oberschleißheim (Fr. Deggendorf)					922400
WWWPANEL	WWQ_922430	AQ_92_2430_Deg	4326	48.2466591	11.5334960		922430
WWWPANEL	WWQ_922900	AQ_92_2900_Deg	4326	48.2511779	11.5328067		922900
							
WWWSET	WWK_950100	WWW BAB A9 AS68 - AK Neufahrn (Fr. München)					950100
WWWPANEL	WWQ_9584	WWQ_9_510820_Mch	4326	48.3322855	11.6118997		9584
WWWPANEL	WWQ_9586	WWQ_9_511350_Mch	4326	48.3277025	11.6144854		9586
WWWPANEL	WWQ_9590	WWQ_9_511805_Mch	4326	48.3240323	11.6163522		9590
WWWPANEL	WWQ_9601	WWQ_9_AKNeuf_0840_AF	4326	48.3187013	11.6191712		9601
							
WWWSET	WWK_950102	WWW BAB A9 AS70 - AS Garching-Nord (Fr. München)					950102
WWWPANEL	WWQ_9700	AQ9-700-Mch	4326	48.2726236	11.6434801		9700
WWWPANEL	WWQ_9710	AQ9-710-Mch	4326	48.2685839	11.6448319		9710
							
WWWSET	WWK_950104	WWW BAB A9 AS71 - AS Garching-Süd (Fr. München)					950104
WWWPANEL	WWQ_9740	AQ9-740-Mch	4326	48.2558354	11.6464948		9740
WWWPANEL	WWQ_9760	AQ9-760-Mch	4326	48.2491994	11.6432682		9760
							
WWWSET	WWK_950106	WWW BAB A9 AS72 - AK München-Nord (Fr. München)					950106
WWWPANEL	WWQ_9.781a	AQ9-781a-Mch	4326	48.2416536	11.6393387		9.781a
WWWPANEL	WWQ_9.781b	AQ9-781b-Mch	4326	48.2378691	11.6374719		9.781b
WWWPANEL	WWQ_9.781c	AQ9-781c-Mch	4326	48.2335361	11.6352618		9.781c
WWWPANEL	WWQ_9.781d	AQ9-781d-Mch	4326	48.2312142	11.6341647		9.781d
							
WWWSET	WWK_950101	WWW BAB A9 AS72 - AK München-Nord (Fr. Nürnberg)					950101
WWWPANEL	WWQ_9125	AQ9-125-Nbg	4326	48.2054738	11.6215597		9125
WWWPANEL	WWQ_9130	AQ9-130-Nbg	4326	48.2081370	11.6229424		9130
WWWPANEL	WWQ_9140	AQ9-140-Nbg	4326	48.2148103	11.6264856		9140
							
WWWSET	WWK_950103	WWW BAB A9 AS70 - AS Garching-Nord (Fr. Nürnberg)					950103
WWWPANEL	WWQ_9238	AQ9-238-Nbg	4326	48.2555182	11.6465753		9238
WWWPANEL	WWQ_9248	AQ9-248-Nbg	4326	48.2606842	11.6473960		9248
							
WWWSET	WWK_950105	WWW BAB A9 AS69 - AS Eching (Fr. Nürnberg)					950105
WWWPANEL	WWQ_9308	AQ9-308-Nbg	4326	48.2917087	11.6356467		9308
							
WWWSET	WWK_950107	WWW BAB A9 AS68 - AK Neufahrn (Fr. Nürnberg)					950107
WWWPANEL	WWQ_9328	AQ9-328-Nbg	4326	48.2989009	11.6317266		9328
WWWPANEL	WWQ_9345	AQ9-345-Nbg	4326	48.3030725	11.6292482		9345
							
WWWSET	WWK_9950100	WWW BAB A99 AS11 - AD München-Feldmoching (Fr. Salzburg)					9950100
WWWPANEL	WWQ_99025	AQ99-025-Sbg	4326	48.2241147	11.5276381		99025
WWWPANEL	WWQ_99028	AQ99-028-Sbg	4326	48.2246024	11.5301889		99028
							
WWWSET	WWK_9950102	WWW BAB A99 AS12 - AS München-Neuherberg (Fr. Salzburg)					9950102
WWWPANEL	WWQ_99058	AQ99-058-Sbg	4326	48.2274339	11.5743957		99058
WWWPANEL	WWQ_99056	AQ99-056-Sbg	4326	48.2279936	11.5810664		99056
							
WWWSET	WWK_9950112	WWW BAB A99 AS12b - AS Fröttmaning-Nord (Fr. Salzburg)					9950112
WWWPANEL	WWQ_99062	AQ99-062-Sbg	4326	48.2287655	11.5930223		99062
WWWPANEL	WWQ_99063	AQ99-063-Sbg	4326	48.2285432	11.6000014		99063
WWWPANEL	WWQ_99072	AQ99-072-Sbg	4326	48.2272443	11.6099792		99072
							
WWWSET	WWK_9950109	WWW BAB A99 AS13 - AK München-Nord (Fr. Stuttgart)					9950109
WWWPANEL	WWQ_99765	AQ99-765-Stg	4326	48.2029672	11.6606435		99765
WWWPANEL	WWQ_99772	AQ99-772-Stg	4326	48.2075430	11.6515186		99772
WWWPANEL	WWQ_99777	AQ99-777-Stg	4326	48.2141329	11.6416562		99777
WWWPANEL	WWQ_99782	AQ99-782-Stg	4326	48.2161852	11.6385797		99782
WWWPANEL	WWQ_99784	AQ99-784-Stg	4326	48.2181743	11.6353851		99784
WWWPANEL	WWQ_99785	AQ99-785-Stg	4326	48.2205576	11.6309273		99785
							
WWWSET	WWK_9950111	WWW BAB A99 AS11 - AD München-Feldmoching (Fr. Stuttgart)					9950111
WWWPANEL	WWQ_99.X	AQ_99_18390_Stg	4326	48.2267838	11.5525234		99.X
WWWPANEL	WWQ_99.X2	AQ_99_18185_Stg	4326	48.2267379	11.5500054		99.X2
							
							
							
							
#WWWSET	WWK_92590	WWK_92590					92590
#WWWPANEL	WWQ_92595	WWQ_92595	31463	3694870	5345730		92595
#WWWPANEL	WWQ_92596	WWQ_92596	31463	3694870	5345730		92596
							
#WWWSET	WWK_92600	WWK_92600					92600
#WWWPANEL	WWQ_92605	WWQ_92605	31463	3694870	5345730		92605
#WWWPANEL	WWQ_92606	WWQ_92606	31463	3694870	5345730		92606
							
							
#WWWSET	WWK_9620	WWK_9620					9620
#WWWPANEL	WWQ_9620	WWQ_9620	31463	3694870	5345730		9620
							
#WWWSET	WWK_950108	WWK_950108					950108
#WWWPANEL	WWQ_9789	WWQ_9789	31463	3694870	5345730		9789
#WWWPANEL	WWQ_9793	WWQ_9793	31463	3694870	5345730		9793
